date,index_symbol,eod_index_value,high,low,index_market_value,dividend_market_value
2024-03-11,NQX,3590.34,3600.62,3574.64,20982597176095.0,
2025-04-17,NQX,3651.62,3680.21,3628.89,22387387928613.0,
2021-01-04,NQX,2538.93,2589.97,2507.48,14500076472701.0,1851917313.0
2022-03-09,NQX,2748.44,2758.62,2700.9,16286972054805.0,175866486.0
2023-11-27,NQX,3192.4,3209.06,3186.44,18472221244941.0,
2020-07-30,NQX,2143.1,2147.41,2106.36,12054447736764.0,1260800917.0
2020-01-22,NQX,1837.71,1848.5,1835.85,10306324272100.0,
2021-08-16,NQX,3028.15,3028.4,2986.23,17444074605020.0,1343623205.0
2024-08-20,NQX,3943.96,3967.1,3930.44,23376306529387.0,233309389.0
2024-02-27,NQX,3594.21,3597.5,3574.18,21005219466783.0,79982663.0
2021-06-22,NQX,2854.08,2857.71,2825.6,16300737704108.0,
2023-11-15,NQX,3163.44,3180.94,3153.06,18304643967589.0,4725246811.0
2020-11-13,NQX,2387.57,2391.42,2361.79,13471521923622.0,1610318971.0
2020-04-08,NQX,1645.91,1650.88,1611.68,9230629294704.0,
2020-02-27,NQX,1687.33,1757.34,1686.08,9462949209400.0,762638517.0
2021-06-10,NQX,2792.07,2792.62,2763.57,15950706833781.0,484513139.0
2021-06-04,NQX,2754.15,2756.95,2722.72,15734107575835.0,
2024-06-17,NQX,3980.55,3995.57,3924.73,23580668135181.0,
2023-12-08,NQX,3216.94,3220.17,3187.52,18613901162328.0,
2020-08-11,NQX,2175.22,2218.18,2171.01,12235084579686.0,
2024-05-24,NQX,3761.67,3770.4,3732.96,22284026486935.0,
2023-05-23,NQX,2734.51,2765.42,2732.58,15828889016490.0,
2019-11-18,NQX,1665.7,1668.08,1654.93,9337346283044.0,163992152.0
2019-03-28,NQX,1464.09,1469.21,1455.54,8250343482620.0,631837377.0
2019-02-15,NQX,1411.04,1414.85,1404.46,8066807189844.0,50056599.0
2023-05-24,NQX,2720.9,2731.15,2704.18,15750099755871.0,314844229.0
2020-10-16,NQX,2370.43,2406.83,2364.91,13341071787314.0,
2020-09-14,NQX,2255.55,2272.65,2238.56,12702150177698.0,1363148905.0
